Employee #,Employee Name,Date,Log In,Log Out,Hourly Rate
10001,Garcia Manuel III,06/03/2024,08:59:00,18:31:00,535.71
10001,Garcia Manuel III,06/04/2024,09:47:00,19:07:00,535.71
10001,Garcia Manuel III,06/05/2024,10:57:00,21:32:00,535.71
10001,Garcia Manuel III,06/06/2024,09:32:00,19:15:00,535.71
10001,Garcia Manuel III,06/07/2024,09:46:00,19:15:00,535.71
10001,Garcia Manuel III,06/10/2024,09:10:00,18:36:00,535.71
10001,Garcia Manuel III,06/11/2024,10:30:00,20:53:00,535.71
10001,Garcia Manuel III,06/12/2024,08:37:00,18:25:00,535.71
10001,Garcia Manuel III,06/13/2024,08:24:00,19:20:00,535.71
10001,Garcia Manuel III,06/14/2024,09:28:00,19:24:00,535.71
10001,Garcia Manuel III,06/17/2024,09:07:00,19:10:00,535.71
10001,Garcia Manuel III,06/18/2024,08:32:00,18:35:00,535.71
10001,Garcia Manuel III,06/19/2024,09:05:00,18:30:00,535.71
10001,Garcia Manuel III,06/20/2024,09:07:00,20:01:00,535.71
10001,Garcia Manuel III,06/21/2024,08:19:00,15:24:00,535.71
10001,Garcia Manuel III,06/24/2024,10:26:00,19:43:00,535.71
10001,Garcia Manuel III,06/25/2024,09:52:00,17:12:00,535.71
10001,Garcia Manuel III,06/26/2024,08:23:00,18:51:00,535.71
10001,Garcia Manuel III,06/27/2024,08:46:00,16:09:00,535.71
10001,Garcia Manuel III,06/28/2024,09:07:00,18:28:00,535.71
10001,Garcia Manuel III,07/01/2024,09:15:00,19:17:00,535.71
10001,Garcia Manuel III,07/02/2024,09:33:00,19:06:00,535.71
10001,Garcia Manuel III,07/03/2024,10:43:00,19:29:00,535.71
10001,Garcia Manuel III,07/04/2024,08:15:00,18:26:00,535.71
10001,Garcia Manuel III,07/05/2024,08:00:00,16:29:00,535.71
10001,Garcia Manuel III,07/08/2024,08:32:00,16:59:00,535.71
10001,Garcia Manuel III,07/09/2024,09:46:00,18:46:00,535.71
10001,Garcia Manuel III,07/10/2024,09:02:00,17:37:00,535.71
10001,Garcia Manuel III,07/11/2024,10:57:00,21:16:00,535.71
10001,Garcia Manuel III,07/12/2024,08:48:00,17:32:00,535.71
10001,Garcia Manuel III,07/15/2024,10:02:00,20:52:00,535.71
10001,Garcia Manuel III,07/16/2024,09:52:00,19:24:00,535.71
10001,Garcia Manuel III,07/17/2024,10:37:00,19:25:00,535.71
10001,Garcia Manuel III,07/18/2024,10:10:00,18:44:00,535.71
10001,Garcia Manuel III,07/19/2024,10:41:00,18:38:00,535.71
10001,Garcia Manuel III,07/22/2024,08:28:00,18:15:00,535.71
10001,Garcia Manuel III,07/23/2024,10:54:00,20:03:00,535.71
10001,Garcia Manuel III,07/24/2024,08:46:00,17:42:00,535.71
10001,Garcia Manuel III,07/25/2024,10:25:00,21:00:00,535.71
10001,Garcia Manuel III,07/26/2024,10:52:00,18:25:00,535.71
10001,Garcia Manuel III,07/29/2024,08:11:00,18:48:00,535.71
10001,Garcia Manuel III,07/30/2024,08:04:00,17:00:00,535.71
10001,Garcia Manuel III,07/31/2024,09:52:00,18:05:00,535.71
10001,Garcia Manuel III,08/01/2024,10:08:00,18:21:00,535.71
10001,Garcia Manuel III,08/02/2024,10:30:00,20:48:00,535.71
10001,Garcia Manuel III,08/05/2024,08:01:00,18:19:00,535.71
10001,Garcia Manuel III,08/06/2024,10:01:00,17:37:00,535.71
10001,Garcia Manuel III,08/07/2024,09:21:00,17:17:00,535.71
10001,Garcia Manuel III,08/08/2024,09:15:00,16:54:00,535.71
10001,Garcia Manuel III,08/09/2024,09:35:00,17:16:00,535.71
10001,Garcia Manuel III,08/12/2024,09:56:00,18:02:00,535.71
10001,Garcia Manuel III,08/13/2024,08:34:00,19:00:00,535.71
10001,Garcia Manuel III,08/14/2024,09:59:00,19:51:00,535.71
10001,Garcia Manuel III,08/15/2024,09:41:00,17:24:00,535.71
10001,Garcia Manuel III,08/16/2024,09:46:00,19:13:00,535.71
10001,Garcia Manuel III,08/19/2024,10:46:00,18:08:00,535.71
10001,Garcia Manuel III,08/20/2024,08:15:00,16:12:00,535.71
10001,Garcia Manuel III,08/21/2024,08:56:00,16:56:00,535.71
10001,Garcia Manuel III,08/22/2024,09:33:00,19:48:00,535.71
10001,Garcia Manuel III,08/23/2024,08:25:00,16:27:00,535.71
10001,Garcia Manuel III,08/26/2024,10:12:00,20:48:00,535.71
10001,Garcia Manuel III,08/27/2024,09:08:00,19:12:00,535.71
10001,Garcia Manuel III,08/28/2024,10:20:00,18:35:00,535.71
10001,Garcia Manuel III,08/29/2024,08:07:00,18:00:00,535.71
10001,Garcia Manuel III,08/30/2024,08:45:00,18:35:00,535.71
10001,Garcia Manuel III,09/02/2024,10:31:00,20:13:00,535.71
10001,Garcia Manuel III,09/03/2024,10:49:00,19:10:00,535.71
10001,Garcia Manuel III,09/04/2024,09:53:00,18:13:00,535.71
10001,Garcia Manuel III,09/05/2024,08:07:00,17:24:00,535.71
10001,Garcia Manuel III,09/06/2024,08:04:00,18:25:00,535.71
10001,Garcia Manuel III,09/09/2024,10:33:00,17:50:00,535.71
10001,Garcia Manuel III,09/10/2024,10:51:00,20:42:00,535.71
10001,Garcia Manuel III,09/11/2024,09:40:00,18:52:00,535.71
10001,Garcia Manuel III,09/12/2024,09:56:00,17:02:00,535.71
10001,Garcia Manuel III,09/13/2024,08:25:00,17:20:00,535.71
10001,Garcia Manuel III,09/16/2024,08:25:00,17:02:00,535.71
10001,Garcia Manuel III,09/17/2024,08:17:00,16:22:00,535.71
10001,Garcia Manuel III,09/18/2024,08:22:00,15:29:00,535.71
10001,Garcia Manuel III,09/19/2024,10:32:00,21:12:00,535.71
10001,Garcia Manuel III,09/20/2024,08:38:00,19:05:00,535.71
10001,Garcia Manuel III,09/23/2024,10:51:00,18:04:00,535.71
10001,Garcia Manuel III,09/24/2024,08:39:00,17:13:00,535.71
10001,Garcia Manuel III,09/25/2024,09:35:00,17:55:00,535.71
10001,Garcia Manuel III,09/26/2024,09:55:00,19:04:00,535.71
10001,Garcia Manuel III,09/27/2024,08:00:00,16:58:00,535.71
10001,Garcia Manuel III,09/30/2024,08:33:00,17:21:00,535.71
10001,Garcia Manuel III,10/01/2024,10:06:00,19:27:00,535.71
10001,Garcia Manuel III,10/02/2024,08:14:00,18:13:00,535.71
10001,Garcia Manuel III,10/03/2024,08:02:00,15:11:00,535.71
10001,Garcia Manuel III,10/04/2024,08:29:00,17:37:00,535.71
10001,Garcia Manuel III,10/07/2024,10:18:00,20:25:00,535.71
10001,Garcia Manuel III,10/08/2024,09:12:00,19:45:00,535.71
10001,Garcia Manuel III,10/09/2024,08:04:00,16:46:00,535.71
10001,Garcia Manuel III,10/10/2024,10:44:00,19:06:00,535.71
10001,Garcia Manuel III,10/11/2024,08:57:00,16:34:00,535.71
10001,Garcia Manuel III,10/14/2024,10:20:00,20:42:00,535.71
10001,Garcia Manuel III,10/15/2024,10:46:00,20:28:00,535.71
10001,Garcia Manuel III,10/16/2024,10:27:00,19:52:00,535.71
10001,Garcia Manuel III,10/17/2024,09:10:00,19:19:00,535.71
10001,Garcia Manuel III,10/18/2024,08:20:00,18:57:00,535.71
10001,Garcia Manuel III,10/21/2024,10:07:00,17:55:00,535.71
10001,Garcia Manuel III,10/22/2024,08:52:00,16:51:00,535.71
10001,Garcia Manuel III,10/23/2024,10:20:00,18:13:00,535.71
10001,Garcia Manuel III,10/24/2024,10:23:00,19:25:00,535.71
10001,Garcia Manuel III,10/25/2024,10:06:00,19:22:00,535.71
10001,Garcia Manuel III,10/28/2024,09:56:00,20:49:00,535.71
10001,Garcia Manuel III,10/29/2024,08:51:00,17:49:00,535.71
10001,Garcia Manuel III,10/30/2024,10:40:00,18:54:00,535.71
10001,Garcia Manuel III,10/31/2024,08:27:00,17:48:00,535.71
10001,Garcia Manuel III,11/01/2024,09:34:00,18:30:00,535.71
10001,Garcia Manuel III,11/04/2024,08:47:00,16:13:00,535.71
10001,Garcia Manuel III,11/05/2024,10:41:00,20:15:00,535.71
10001,Garcia Manuel III,11/06/2024,10:59:00,21:20:00,535.71
10001,Garcia Manuel III,11/07/2024,08:36:00,18:33:00,535.71
10001,Garcia Manuel III,11/08/2024,09:11:00,16:49:00,535.71
10001,Garcia Manuel III,11/11/2024,10:00:00,17:54:00,535.71
10001,Garcia Manuel III,11/12/2024,10:01:00,19:00:00,535.71
10001,Garcia Manuel III,11/13/2024,10:15:00,17:54:00,535.71
10001,Garcia Manuel III,11/14/2024,09:26:00,16:43:00,535.71
10001,Garcia Manuel III,11/15/2024,09:52:00,17:47:00,535.71
10001,Garcia Manuel III,11/18/2024,10:50:00,19:45:00,535.71
10001,Garcia Manuel III,11/19/2024,09:37:00,17:07:00,535.71
10001,Garcia Manuel III,11/20/2024,08:12:00,16:45:00,535.71
10001,Garcia Manuel III,11/21/2024,09:58:00,19:16:00,535.71
10001,Garcia Manuel III,11/22/2024,10:00:00,19:07:00,535.71
10001,Garcia Manuel III,11/25/2024,09:28:00,19:51:00,535.71
10001,Garcia Manuel III,11/26/2024,08:25:00,19:21:00,535.71
10001,Garcia Manuel III,11/27/2024,09:57:00,20:19:00,535.71
10001,Garcia Manuel III,11/28/2024,10:18:00,20:09:00,535.71
10001,Garcia Manuel III,11/29/2024,10:35:00,21:12:00,535.71
